perf,fin,sip,learn,teach,snie,mer,inteff,attain,perdev,pareng
66,75,71,68,61.75,54,68,75,56,75,75
72,75,71,73,68.75,75,61,75,69,75,75
73,75,75,75,68.25,75,63,75,75,75,75
73,75,75,74,64.25,75,75,75,75,75,72
60,66,67,61,66.75,50,64,55,50,65,56
56,67,28,59,59.75,25,57,65,50,55,54
62,75,42,63,65.5,63,73,60,50,55,73
63,72,75,67,62.75,58,63,60,50,65,62
51,62,31,44,55,27,55,60,50,45,56
60,54,54,69,58,58,62,60,56,65,72
58,73,46,68,55.25,44,55,60,50,73,57
55,69,70,53,49.75,50,53,63,50,65,38
52,69,70,53,46.75,48,52,55,50,50,35
61,69,71,59,53,38,63,58,50,75,71
56,55,47,56,57.25,38,57,60,50,55,63
64,59,66,65,66.25,63,60,55,58,70,62
62,51,57,54,67.5,75,63,68,75,65,55
63,67,60,63,66.75,50,64,60,50,75,58
71,70,75,72,74,67,69,68,75,75,74
67,64,68,60,67,75,65,63,75,70,65
58,60,37,61,55.5,67,61,60,75,65,51
64,59,58,69,64.5,75,62,63,75,75,60
71,64,74,70,72,75,63,75,75,75,71
62,48,57,64,67.25,50,63,55,50,75,55
62,55,70,62,66,71,65,65,50,75,56
74,66,75,74,73.5,75,75,85,75,75,75
58,56,38,60,52.75,58,45,70,56,80,50
47,50,50,49,50.5,50,50,50,50,50,49
63,59,71,71,68,42,65,63,56,70,57
63,59,75,67,67.25,75,52,73,69,65,44
65,66,75,63,66,50,58,70,75,50,54
49,44,50,48,56.75,33,35,53,56,60,38
54,53,50,54,61.5,50,66,55,50,50,52
45,44,46,47,49.5,33,47,50,50,50,43
70,63,73,68,77,75,64,73,75,70,62
43,50,46,49,50.5,42,39,50,31,45,44
57,88,33,62,50.75,79,65,50,75,70,53
62,54,61,63,62,69,61,55,62,70,61
67,53,75,61,68,50,63,55,75,75,75
65,47,56,64,64.75,63,67,68,88,60,58
71,59,70,74,71.5,67,73,70,75,75,77
57,63,38,64,60.5,38,66,55,59,75,52
71,72,75,71,72,50,78,80,69,75,74
71,60,75,75,75.5,76,76,73,50,70,80
71,79,75,75,75.5,76,76,75,50,75,71
67,68,50,70,74,76,72,60,63,75,71
70,66,76,75,74,76,75,70,56,75,73
71,63,71,75,75.5,76,73,75,63,75,72
67,63,64,68,67.75,76,71,70,50,69,74
70,62,75,69,74.5,76,75,75,63,75,71
72,76,76,76,75.25,76,75,71,75,68,77
68,58,63,70,75.25,67,70,75,69,73,65
70,85,71,70,72,88,73,70,67,75,73
71,58,66,73,75.25,76,69,71,75,75,77
58,58,54,60,63.75,33,58,60,50,75,49
57,70,54,59,58.25,72,51,63,56,50,54
55,73,59,64,58.25,65,53,65,50,49,45
62,59,73,69,65.75,81,66,60,55,52,57
57,55,54,61,59,50,52,65,58,53,52
63,64,75,71,73,56,59,55,56,63,58
70,81,54,78,70.5,63,72,65,63,75,75
57,64,63,61,61.5,46,58,50,38,62,53
54,50,55,52,57.75,60,63,63,50,47,52
61,54,57,64,65.25,63,62,60,56,73,51
53,33,34,53,63,58,61,58,56,62,58
59,56,53,67,64.5,63,65,55,50,68,52
57,60,47,68,61.5,50,45,66,50,60,60
52,55,55,53,51.75,50,42,50,50,53,48
55,52,53,62,56.5,54,52,55,50,65,48
50,42,63,54,53,57,51,52,40,50,55
75,72,84,71,75.75,63,80,70,88,75,72
63,53,78,60,71.25,66,74,55,69,75,40
72,72,99,69,69.5,79,68,75,69,75,64
58,61,100,58,63.75,31,66,50,44,64,34
73,56,87,70,66.25,46,85,85,69,79,61
61,70,84,62,62.5,25,80,50,56,75,39
69,80,75,70,72.75,42,74,70,68,84,56
73,81,100,74,73.5,38,91,60,69,80,58
70,56,100,66,67.25,50,75,68,69,80,61
76,88,100,77,76.5,46,78,75,69,90,63
68,75,67,68,64,38,80,85,63,75,64
62,77,91,63,62,29,73,55,56,73,57
71,40,79,68,66,79,76,68,75,88,63
70,42,75,71,70.5,59,74,73,63,75,70
65,66,75,74,73,38,72,69,44,75,55
70,66,69,71,70.75,68,73,70,68,75,64
70,67,72,73,70,70,64,75,63,75,64
71,71,79,73,71.5,25,72,75,75,66,69
